date,facility_id,production_units,kwh_consumed,gas_m3,runtime_hours,emissions_kg_co2e,shift,equipment_efficiency
2024-01-01,F001,950,18500,2300,22,52000,Day,0.85
2024-01-02,F001,1020,19800,2450,23,55500,Day,0.87
2024-01-03,F001,890,17200,2100,21,49000,Day,0.82
2024-01-04,F001,1100,21000,2600,24,58000,Day,0.89
2024-01-05,F001,980,18900,2350,22,53000,Day,0.84
2024-01-06,F001,850,16500,2000,20,47000,Weekend,0.80
2024-01-07,F001,820,16000,1950,19,45500,Weekend,0.79
2024-01-08,F001,1050,20200,2500,23,56500,Day,0.88
2024-01-09,F001,1080,20700,2550,24,57500,Day,0.88
2024-01-10,F001,970,18700,2320,22,52500,Day,0.85
2024-01-11,F001,1020,19600,2430,23,54500,Day,0.86
2024-01-12,F001,940,18100,2250,21,51000,Day,0.83
2024-01-13,F001,800,15600,1900,19,44500,Weekend,0.78
2024-01-14,F001,790,15400,1880,18,44000,Weekend,0.77
2024-01-15,F001,1120,21500,2650,24,59500,Day,0.90
2024-01-16,F001,1090,20900,2580,23,58000,Day,0.89
2024-01-17,F001,1010,19400,2400,22,54000,Day,0.86
2024-01-18,F001,990,19000,2360,22,53000,Day,0.85
2024-01-19,F001,1030,19800,2450,23,55000,Day,0.87
2024-01-20,F001,830,16200,1980,20,46000,Weekend,0.79
2024-01-21,F001,810,15800,1930,19,45000,Weekend,0.78
2024-01-22,F001,1070,20500,2530,23,57000,Day,0.88
2024-01-23,F001,1100,21100,2600,24,58500,Day,0.89
2024-01-24,F001,960,18500,2300,22,52000,Day,0.84
2024-01-25,F001,1000,19200,2380,22,53500,Day,0.86
2024-01-26,F001,920,17700,2200,21,50000,Day,0.83
2024-01-27,F001,840,16400,2000,20,46500,Weekend,0.80
2024-01-28,F001,820,16000,1950,19,45500,Weekend,0.79
2024-01-29,F001,1110,21300,2630,24,59000,Day,0.90
2024-01-30,F001,1080,20700,2560,23,57500,Day,0.88
2024-01-31,F001,1040,20000,2470,23,55500,Day,0.87
2024-02-01,F001,970,18700,2320,22,52500,Day,0.85
2024-02-02,F001,1020,19600,2430,23,54500,Day,0.86
2024-02-03,F001,850,16500,2010,20,47000,Weekend,0.80
2024-02-04,F001,830,16200,1980,19,46000,Weekend,0.79
2024-02-05,F001,1090,20900,2580,23,58000,Day,0.89
2024-02-06,F001,1120,21500,2650,24,59500,Day,0.90
2024-02-07,F001,980,18900,2340,22,53000,Day,0.84
2024-02-08,F001,1010,19400,2400,22,54000,Day,0.86
2024-02-09,F001,940,18100,2250,21,51000,Day,0.83
2024-02-10,F001,810,15800,1930,19,45000,Weekend,0.78
2024-02-11,F001,800,15600,1900,18,44500,Weekend,0.77
2024-02-12,F001,1100,21100,2600,24,58500,Day,0.89
2024-02-13,F001,1070,20500,2530,23,57000,Day,0.88
2024-02-14,F001,990,19000,2360,22,53000,Day,0.85
2024-02-15,F001,1030,19800,2450,23,55000,Day,0.87
2024-02-16,F001,920,17700,2200,21,50000,Day,0.83
2024-02-17,F001,840,16400,2000,20,46500,Weekend,0.80
2024-02-18,F001,820,16000,1950,19,45500,Weekend,0.79
2024-02-19,F001,1110,21300,2630,24,59000,Day,0.90
2024-02-20,F001,1080,20700,2560,23,57500,Day,0.88
2024-02-21,F001,1040,20000,2470,23,55500,Day,0.87
2024-02-22,F001,970,18700,2320,22,52500,Day,0.85
2024-02-23,F001,1000,19200,2380,22,53500,Day,0.86
2024-02-24,F001,850,16500,2010,20,47000,Weekend,0.80
2024-02-25,F001,830,16200,1980,19,46000,Weekend,0.79
2024-02-26,F001,1090,20900,2580,23,58000,Day,0.89
2024-02-27,F001,1120,21500,2650,24,59500,Day,0.90
2024-02-28,F001,980,18900,2340,22,53000,Day,0.84
2024-02-29,F001,1010,19400,2400,22,54000,Day,0.86
2024-03-01,F001,1150,22000,2700,24,61000,Day,0.91
2024-03-02,F001,890,17200,2100,21,49000,Weekend,0.82
2024-03-03,F001,870,16900,2060,20,48000,Weekend,0.81
2024-03-04,F001,1130,21700,2670,24,60000,Day,0.90
2024-03-05,F001,1090,20900,2580,23,58000,Day,0.89
2024-03-06,F001,1020,19600,2430,23,54500,Day,0.86
2024-03-07,F001,1050,20200,2500,23,56500,Day,0.88
2024-03-08,F001,970,18700,2320,22,52500,Day,0.85
2024-03-09,F001,860,16700,2040,20,47500,Weekend,0.80
2024-03-10,F001,840,16400,2000,19,46500,Weekend,0.80
2024-03-11,F001,1140,21900,2690,24,60500,Day,0.91
2024-03-12,F001,1100,21100,2600,24,58500,Day,0.89
2024-03-13,F001,1010,19400,2400,22,54000,Day,0.86
2024-03-14,F001,1040,20000,2470,23,55500,Day,0.87
2024-03-15,F001,950,18300,2270,22,51500,Day,0.84
2024-03-16,F001,850,16500,2010,20,47000,Weekend,0.80
2024-03-17,F001,830,16200,1980,19,46000,Weekend,0.79
2024-03-18,F001,1120,21500,2650,24,59500,Day,0.90
2024-03-19,F001,1090,20900,2580,23,58000,Day,0.89
2024-03-20,F001,980,18900,2340,22,53000,Day,0.84
2024-03-21,F001,1020,19600,2430,23,54500,Day,0.86
2024-03-22,F001,930,17900,2220,21,50500,Day,0.83
2024-03-23,F001,840,16400,2000,20,46500,Weekend,0.80
2024-03-24,F001,820,16000,1950,19,45500,Weekend,0.79
2024-03-25,F001,1160,22200,2730,24,61500,Day,0.92
2024-03-26,F001,1110,21300,2630,24,59000,Day,0.90
2024-03-27,F001,1040,20000,2470,23,55500,Day,0.87
2024-03-28,F001,1000,19200,2380,22,53500,Day,0.86
2024-03-29,F001,960,18500,2300,22,52000,Day,0.84
2024-03-30,F001,860,16700,2040,20,47500,Weekend,0.80
2024-03-31,F001,850,16500,2010,20,47000,Weekend,0.80
2024-04-01,F002,1180,22600,2780,24,62500,Day,0.92
2024-04-02,F002,1140,21900,2690,24,60500,Day,0.91
2024-04-03,F002,1050,20200,2500,23,56500,Day,0.88
2024-04-04,F002,1080,20700,2560,23,57500,Day,0.88
2024-04-05,F002,990,19000,2360,22,53000,Day,0.85
2024-04-06,F002,870,16900,2060,20,48000,Weekend,0.81
2024-04-07,F002,860,16700,2040,20,47500,Weekend,0.80
2024-04-08,F002,1150,22000,2700,24,61000,Day,0.91
2024-04-09,F002,1120,21500,2650,24,59500,Day,0.90
2024-04-10,F002,1020,19600,2430,23,54500,Day,0.86
2024-04-11,F002,1050,20200,2500,23,56500,Day,0.88
2024-04-12,F002,960,18500,2300,22,52000,Day,0.84
2024-04-13,F002,850,16500,2010,20,47000,Weekend,0.80
2024-04-14,F002,840,16400,2000,19,46500,Weekend,0.80
2024-04-15,F002,1170,22400,2760,24,62000,Day,0.92
2024-04-16,F002,1130,21700,2670,24,60000,Day,0.90
2024-04-17,F002,1040,20000,2470,23,55500,Day,0.87
2024-04-18,F002,1010,19400,2400,22,54000,Day,0.86
2024-04-19,F002,970,18700,2320,22,52500,Day,0.85
2024-04-20,F002,860,16700,2040,20,47500,Weekend,0.80
2024-04-21,F002,850,16500,2010,20,47000,Weekend,0.80
2024-04-22,F002,1140,21900,2690,24,60500,Day,0.91
2024-04-23,F002,1100,21100,2600,24,58500,Day,0.89
2024-04-24,F002,1000,19200,2380,22,53500,Day,0.86
2024-04-25,F002,1030,19800,2450,23,55000,Day,0.87
2024-04-26,F002,940,18100,2250,21,51000,Day,0.83
2024-04-27,F002,840,16400,2000,20,46500,Weekend,0.80
2024-04-28,F002,830,16200,1980,19,46000,Weekend,0.79
2024-04-29,F002,1160,22200,2730,24,61500,Day,0.92
2024-04-30,F002,1110,21300,2630,24,59000,Day,0.90
2024-05-01,F002,1050,20200,2500,23,56500,Day,0.88
2024-05-02,F002,1020,19600,2430,23,54500,Day,0.86
2024-05-03,F002,980,18900,2340,22,53000,Day,0.84
2024-05-04,F002,870,16900,2060,20,48000,Weekend,0.81
2024-05-05,F002,860,16700,2040,20,47500,Weekend,0.80
2024-05-06,F002,1180,22600,2780,24,62500,Day,0.92
2024-05-07,F002,1140,21900,2690,24,60500,Day,0.91
2024-05-08,F002,1060,20400,2520,23,56800,Day,0.88
2024-05-09,F002,1030,19800,2450,23,55000,Day,0.87
2024-05-10,F002,960,18500,2300,22,52000,Day,0.84
2024-05-11,F002,850,16500,2010,20,47000,Weekend,0.80
2024-05-12,F002,840,16400,2000,19,46500,Weekend,0.80
2024-05-13,F002,1150,22000,2700,24,61000,Day,0.91
2024-05-14,F002,1120,21500,2650,24,59500,Day,0.90
2024-05-15,F002,1010,19400,2400,22,54000,Day,0.86
2024-05-16,F002,1040,20000,2470,23,55500,Day,0.87
2024-05-17,F002,950,18300,2270,22,51500,Day,0.84
2024-05-18,F002,860,16700,2040,20,47500,Weekend,0.80
2024-05-19,F002,850,16500,2010,20,47000,Weekend,0.80
2024-05-20,F002,1170,22400,2760,24,62000,Day,0.92
2024-05-21,F002,1130,21700,2670,24,60000,Day,0.90
2024-05-22,F002,1030,19800,2450,23,55000,Day,0.87
2024-05-23,F002,1000,19200,2380,22,53500,Day,0.86
2024-05-24,F002,970,18700,2320,22,52500,Day,0.85
2024-05-25,F002,860,16700,2040,20,47500,Weekend,0.80
2024-05-26,F002,850,16500,2010,20,47000,Weekend,0.80
2024-05-27,F002,1140,21900,2690,24,60500,Day,0.91
2024-05-28,F002,1100,21100,2600,24,58500,Day,0.89
2024-05-29,F002,1020,19600,2430,23,54500,Day,0.86
2024-05-30,F002,1010,19400,2400,22,54000,Day,0.86
2024-05-31,F002,950,18300,2270,22,51500,Day,0.84