supplier_id,supplier_name,country,tier,industry,scope1_emissions_kg,scope2_emissions_kg,scope3_emissions_kg,total_emissions_kg,renewable_energy_pct,certifications,audit_year,data_quality_score,on_time_delivery_pct,financial_stability_score,violations_count,controversies_count,carbon_intensity_per_unit,waste_management_score,water_usage_m3,employee_count
S-001,Alpha Steel Co.,CN,Tier-1,Manufacturing,45200,35800,44450,125450,15,ISO14001;CDP,2023,0.85,88,72,2,1,2.8,65,125000,1200
S-002,Beta Logistics Ltd.,ID,Tier-1,Logistics,18200,12400,21800,52400,25,ISO14001;SBTi,2023,0.92,92,85,0,0,1.2,78,8500,450
S-003,Gamma Parts Manufacturing,VN,Tier-2,Electronics,12800,8600,14200,35600,40,ISO14001;ISO9001,2023,0.88,85,78,1,0,1.5,82,42000,680
S-004,Delta Energy Solutions,US,Tier-1,Energy,156000,42000,68000,266000,8,CDP,2023,0.75,75,65,3,2,8.5,58,285000,2500
S-005,Epsilon Chemical Corp.,DE,Tier-1,Chemicals,85200,52000,92000,229200,18,ISO14001;REACH,2023,0.90,90,88,1,0,4.2,72,196000,1800
S-006,Zeta Textiles Inc.,BD,Tier-2,Textile,28400,18600,32000,79000,12,WRAP,2023,0.68,82,62,2,1,2.1,55,98000,3200
S-007,Eta Plastics PLC,TH,Tier-2,Plastics,22500,14800,26200,63500,22,ISO14001,2023,0.82,87,75,1,0,1.8,68,52000,850
S-008,Theta Electronics,KR,Tier-1,Electronics,38600,28200,45800,112600,35,ISO14001;RBA,2023,0.94,95,92,0,0,1.3,88,38000,1500
S-009,Iota Packaging Ltd.,MY,Tier-2,Packaging,15200,9800,17600,42600,28,FSC;ISO14001,2023,0.86,89,80,0,0,1.6,75,28000,520
S-010,Kappa Automotive Parts,JP,Tier-1,Automotive,52800,38400,62200,153400,30,ISO14001;IATF16949,2023,0.96,96,95,0,0,2.2,90,68000,2200
S-011,Lambda Metals Trading,IN,Tier-2,Mining,98400,32800,118000,249200,5,None,2022,0.62,78,58,4,2,6.8,48,185000,1450
S-012,Mu Agricultural Supplies,BR,Tier-3,Agriculture,18600,8200,22400,49200,10,GlobalGAP,2023,0.72,80,68,1,0,1.9,62,142000,680
S-013,Nu Semiconductor,TW,Tier-1,Semiconductor,62800,48200,78400,189400,42,ISO14001;RBA;CDP,2023,0.98,98,98,0,0,1.8,95,52000,3800
S-014,Xi Shipping Services,SG,Tier-1,Logistics,42600,15200,38800,96600,20,ISO14001;ISO9001,2023,0.88,91,85,1,0,2.4,72,12000,850
S-015,Omicron Rubber Products,ID,Tier-2,Rubber,32400,18800,38200,89400,16,ISO14001,2023,0.78,83,72,2,1,3.2,65,78000,920
S-016,Pi Energy Storage,CN,Tier-1,Battery,68200,42800,82400,193400,38,ISO14001;SBTi;CDP,2023,0.94,93,90,0,0,2.6,85,95000,2400
S-017,Rho Glass Manufacturing,PH,Tier-2,Glass,28600,22400,34200,85200,14,ISO9001,2023,0.74,81,70,2,0,2.9,60,62000,680
S-018,Sigma Paper Mill,FI,Tier-2,Paper,42800,28200,52600,123600,45,FSC;PEFC;ISO14001,2023,0.92,90,88,0,0,2.1,88,185000,1200
S-019,Tau Construction Materials,AE,Tier-2,Construction,52600,18400,68000,139000,8,ISO9001,2023,0.70,79,65,3,1,4.8,55,95000,1850
S-020,Upsilon Rare Earth Mining,AU,Tier-3,Mining,128000,42000,156000,326000,12,ISO14001,2022,0.68,76,72,2,1,9.2,58,242000,980
S-021,Phi Electronics Assembly,MX,Tier-2,Electronics,24800,16200,28600,69600,25,ISO14001;RBA,2023,0.84,86,78,1,0,1.7,75,35000,1450
S-022,Chi Ceramic Products,IT,Tier-2,Ceramics,18400,12800,22200,53400,32,ISO14001;EU Ecolabel,2023,0.88,88,82,0,0,1.4,80,28000,420
S-023,Psi Biofuel Production,US,Tier-2,Biofuel,38200,22600,48400,109200,65,ISCC;RSB,2023,0.86,84,80,1,0,2.8,78,168000,680
S-024,Omega Precision Tools,CH,Tier-2,Tools,12600,8400,15200,36200,48,ISO14001;ISO9001,2023,0.96,94,92,0,0,0.9,92,18000,520
S-025,Alpha Pharma Logistics,NL,Tier-1,Pharmaceuticals,28400,18200,34600,81200,35,ISO14001;GDP,2023,0.94,95,90,0,0,1.6,88,22000,850